Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,1,0.4975124,0.9950249,9.452736,14.42786,15.38461,14.90385,17.78846,18.75,14.42308,9.478673,9.952606,11.26761,14.08451,14.55399,16.25616,18.71921,20.68966,22.16749,20.68966
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,1.507538,2,1.485149,1.980198,3.960396,2.870813,1.913876,0.4784689,0.9569378,0.4807692,0.9478673,0.4739336,0.4694836,1.408451,1.408451,4.326923,3.365385,5.769231,4.807693,4.326923
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,1.630435,2.590674,1.538462,3.061224,5.612245,5.418719,3.431373,2.941176,2.912621,3.398058,3.349282,5.263158,4.265403,10.90047,10.90047,11.05769,14.42308,7.211538,6.730769,10.57692
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,2.12766,0.5319149,0.5291005,1.587302,2.01005,1.941748,2.427185,1.449275,1.449275,0.4807692,0.4739336,1.421801,1.421801,1.895735,1.421801,2.857143,0.952381,0.952381,0.4761905,0.4761905
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,0,0,0,2.040816,11.73469,17.24138,9.803922,5.365854,5.339806,4.368932,3.827751,4.784689,4.739336,6.635071,7.582938,8.173077,8.173077,9.615385,9.134615,7.692307
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,4.301075,9.793815,5.076142,5.050505,5.050505,5.853659,2.439024,3.902439,0.9708738,0.4854369,0.9569378,0.952381,0.9478673,2.369668,1.895735,5.288462,6.25,3.365385,3.846154,4.326923
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,29.5,38.80597,41.29353,48.25871,50.24876,49.03846,51.44231,49.03846,51.92308,53.36538,54.02843,54.02843,52.11267,50.70422,51.17371,50.2463,52.70936,52.21675,54.18719,53.20197
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,28.64322,19.5,18.81188,27.22772,28.21782,28.70813,28.70813,28.70813,30.62201,34.61538,38.38863,41.23223,41.31455,39.43662,39.43662,43.26923,44.23077,41.82692,38.94231,39.42308
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,30.43478,44.55959,40.51282,45.40816,38.2653,48.76847,43.62745,51.47059,55.33981,55.82524,58.37321,57.89474,57.34597,57.34597,57.8199,60.09615,59.13462,60.57692,62.01923,63.46154
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,35.6383,28.7234,29.62963,34.39153,36.1809,30.09709,29.61165,29.95169,37.68116,43.26923,42.1801,38.38863,37.44076,40.28436,49.2891,61.42857,58.09524,58.09524,60.47619,58.57143
